Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
pre-order,orderable,Evanescen Studio,NieR:Automata,2B,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"27,690.81"
pre-order,orderable,Toy's My Dream Studio,One Piece,Perona,GK Statue,36-50cm,other scale,Other,12/2024 ,GK Statue,"29,635.65"
pre-order,orderable,yz studio,One Piece,Monkey D. Luffy,GK Statue,under 10cm,wcf-like & sd-like,Other, ,GK Statue,"5,927.13"
pre-order close,contact for current prices,mds Studio,One Piece,Eustass Kid,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"14,910.44"
pre-order,orderable,league studio,Celebrity Figure,Akira Toriyama,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,Prime 1 Studio,DC Comics,Batman,Licensed Statue,51-69cm,1/4,Other,03/2026 ,Licensed Statue,"111,041.08"
pre-order,orderable,neta Studio,KonoSuba: God's Blessing on This Wonderful World,Megumin,GK Statue,16-25cm,other scale,18+ Female, ,GK Statue,"10,928.15"
pre-order close,contact for current prices,Zii.PROduction Studio,Blue Archive,Sunaookami Shiroko,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"27,690.81"
released,contact for current prices,Prime 1 Studio,Alien,Alien,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"311,081.73"
pre-order,orderable,FB Studio,Original,Komori,GK Statue,10-15cm,1/6,18+ Furry,06/2025 ,GK Statue,"17,596.17"
pre-order,orderable,MAD BUNNY Studio,Honkai: Star Rail,Sparkle/Hanabi,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"9,724.20"
released,contact for current prices,Prime 1 Studio,Lord of the Rings,Uruk-Hai Berserker,Licensed Statue,over 90cm,other scale,Other, ,Licensed Statue,"140,954.57"
pre-order,orderable,Kuonn Studio,Mato Seihei no Slave,Ren Yamashiro,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"20,652.34"
pre-order,orderable,NIUZI Studio,Pokémon,Gengar,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"1,852.23"
early bird,orderable,Chao Qi Studio,Honkai: Star Rail,Kafka,GK Statue,unknown,other scale,Other, ,GK Statue,"27,690.81"
pre-order,orderable,XO Stuidio,Genshin Impact,Shenhe,GK Statue,51-69cm,1/4,18+ Female,03/2025 ,GK Statue,"68,162.00"
pre-order,orderable,sakura studio,Naruto,Neji Hyuga,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"9,075.92"
early bird,orderable,RS Studio (New),Honkai: Star Rail,Firefly,GK Statue,unknown,1/6,18+ Female, ,GK Statue,"27,690.81"
pre-order,orderable,LGY studio,Honkai: Star Rail,Feixiao,GK Statue,10-15cm,1/6,18+ Female,12/2024 ,GK Statue,"17,596.17"
released,contact for current prices,Prime 1 Studio,Lord of the Rings,Aragorn,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"101,779.94"
early bird,orderable,Ghost Studio,One Piece,Marco,GK Statue,16-25cm,1/7-1/9(pop-like),Other, ,GK Statue,"27,690.81"
pre-order,orderable,lx studio,One Piece,Tony Tony Chopper,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"6,112.35"
released,contact for current prices,Prime 1 Studio,Lord of the Rings,Balrog,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"185,222.82"
pre-order,orderable,DW Studio,Dragon Ball,F1 Racing,GK Statue,under 10cm,other scale,Other, ,GK Statue,"14,725.21"
pre-order,orderable,cross studio,Hunter x Hunter,Gon Freecss,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"13,058.21"
pre-order,orderable,DX Studio,One Piece,Jesus Burgess,GK Statue,51-69cm,other scale,Other,12/2024 ,GK Statue,"26,301.64"
pre-order,orderable,a+ studio,One Piece,Emet,GK Statue,16-25cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"8,705.47"
released,in stock,Dorobou Neko Studio,Neon Genesis Evangelion,Soryu Asuka Langley,3D Decorative Paint,36-50cm,other scale,18+ Female,09/2024 ,3D Decorative Paint,"6,204.96"
pre-order,orderable,digital monster studio,Pokémon,Sylveon,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"9,261.14"
pre-order,orderable,c studio,Dragon Ball,Broly,GK Statue,10-15cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"6,668.02"
released,in stock,Sideshow Collectibles,Star Wars,The Mandalorian,Licensed Statue,70-90cm,Life-Size,Bust, ,Licensed Statue,"148,085.64"
pre-order,orderable,Chuang Meng Studio,Pokémon,Mudkip,GK Statue,unknown,1/20,Other, ,GK Statue,"5,927.13"
pre-order,orderable,NANA Studio,Original,Cai Uncle,GK Statue,10-15cm,wcf-like & sd-like,Other, ,GK Statue,"5,556.68"
pre-order,orderable,Ling Yun Studio,Spy x Family,Yor Forger,Sex Doll,70-90cm,other scale,18+ Female, ,Sex Doll,"46,213.09"
released,contact for current prices,Prime 1 Studio,Lord of the Rings,The Dark Lord Sauron,Licensed Statue,over 90cm,1/4,Other, ,Licensed Statue,"186,611.99"
pre-order close,contact for current prices,Dim Studio,Dragon Ball,Frieza,GK Statue,26-35cm,other scale,Other,03/2025 ,GK Statue,"28,709.54"
pre-order,orderable,BFF Studio,Naruto,Uzumaki Naruto,GK Statue,16-25cm,1/6,Other, ,GK Statue,"11,113.37"
pre-order,orderable,GEISHA Studio,Spy x Family,Anya Forger,GK Statue,16-25cm,other scale,Other,06/2025 ,GK Statue,"9,075.92"
pre-order,orderable,ATOPOS Studio,Chainsaw Man,Makima,GK Statue,36-50cm,1/4,18+ Female,03/2025 ,GK Statue,"51,214.11"
released,contact for current prices,Prime 1 Studio,Saint Seiya,Andromeda Shun,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"111,041.08"
pre-order,orderable,S6 Studio,Monster Hunter,Zinogre,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"12,872.99"
released,orderable,Prime 1 Studio,Saint Seiya,Dragon Shiryū,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"120,302.22"
pre-order,orderable,emo studio,Pokémon,Team Rocket,GK Statue,36-50cm,other scale,Other,03/2025 ,GK Statue,"46,213.09"
released,contact for current prices,Prime 1 Studio,Saint Seiya,Phoenix Ikki,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"131,508.20"
pre-order,orderable,ABsinthe Studio,Xenoblade,Mythra/Hikari,GK Statue,10-15cm,1/6,18+ Female,09/2025 ,GK Statue,"32,043.55"
early bird,orderable,Super Nova Studio,Original,Miyamae Shiho,PVC Figure,26-35cm,1/6,Other, ,PVC Figure,"18,429.67"
pre-order,orderable,dream studio,One Piece,Monkey D. Luffy,GK Statue,36-50cm,other scale,Other,03/2025 ,GK Statue,"17,781.39"
pre-order,orderable,power studio,Hunter x Hunter,Chrollo Lucilfer,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,371.46"
pre-order,orderable,BR Studio,World of Warcraft,Warloc,GK Statue,51-69cm,other scale,Other,09/2025 ,GK Statue,"63,994.48"
pre-order,orderable,Jenrya Studio,Digimon,Marin Angemon,GK Statue,under 10cm,other scale,Other, ,GK Statue,"8,520.25"
pre-order,orderable,Warhead Studio,Attack On Titan,Armin Arlert,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"7,408.91"
pre-order,orderable,PP Jiang Studio,Genshin Impact,Nahida,GK Statue,16-25cm,1/6,18+ Female, ,GK Statue,"36,951.95"
released,contact for current prices,Prime 1 Studio,Kinnikuman,Robin Mask,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"48,991.44"
pre-order,orderable,Super Guai Studio,One Piece,Boa Hancock,GK Statue,51-69cm,other scale,Skin change / Cosplay, ,GK Statue,"17,781.39"
pre-order,orderable,Pu Luo Mi Xiu Si Studio,Dota,Queen of Pain,Licensed Statue,26-35cm,1/7-1/9(pop-like),Other,09/2025 ,Licensed Statue,"19,263.17"
pre-order,orderable,yz studio,One Piece,Eustass Kid,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,668.02"
pre-order,orderable,digital monster studio,Pokémon,Espeon,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"8,149.80"
pre-order,orderable,c studio,Bleach,Ginrei Kuchiki,GK Statue,under 10cm,wcf-like & sd-like,Other,03/2025 ,GK Statue,"5,371.46"
released,in stock,BBD Studio,Pokémon,Pikachu,GK Statue,10-15cm,other scale,Skin change / Cosplay,09/2024 ,GK Statue,"7,964.58"
released,contact for current prices,Prime 1 Studio,,,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"69,180.72"
pre-order,orderable,Maya Studio,Dragon Ball,Vegeta,GK Statue,36-50cm,1/6,Other,06/2025 ,GK Statue,"32,136.16"
pre-order,orderable,ACEModeling Studio,Original,Saliye,GK Statue,26-35cm,1/6,Other,12/2024 ,GK Statue,"25,560.75"
pre-order,orderable,c studio,Dragon Ball,Mai,GK Statue,under 10cm,wcf-like & sd-like,Other,03/2025 ,GK Statue,"5,371.46"
pre-order,orderable,master studio,One Piece,Streusen,GK Statue,16-25cm,1/7-1/9(pop-like),Other,12/2024 ,GK Statue,"16,114.39"
released,contact for current prices,Prime 1 Studio,GANTZ: O,Anzu,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"55,474.23"
pre-order,orderable,black studio,One Piece,Arlong,GK Statue,26-35cm,1/7-1/9(pop-like),Other,03/2025 ,GK Statue,"17,966.61"
released,contact for current prices,Prime 1 Studio,GANTZ: O,Reika Shimohira,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"69,180.72"
pre-order,orderable,league studio,Dragon Ball,Cooler,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,668.02"
pre-order,orderable,trieagles studio,Chinese Style Original,Cloudworm,Licensed Statue,36-50cm,1/4,Other,09/2025 ,Licensed Statue,"60,660.47"
released,contact for current prices,Prime 1 Studio,Gatchaman,G-1 Ken the Eagle,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"78,627.09"
pre-order,orderable,stand studio,One Piece,Charlotte Snack,GK Statue,26-35cm,1/7-1/9(pop-like),Other,06/2025 ,GK Statue,"19,726.23"
early bird,orderable,Lou Lan Studio,Honkai Impact,Raiden Mei,GK Statue,51-69cm,1/6,Other, ,GK Statue,"92,518.80"
pre-order close,contact for current prices,NIUZI Studio,One Piece,Devil Fruits,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"3,148.79"
pre-order,orderable,HSM Studio,Honkai Impact,Seele Vollerei,GK Statue,36-50cm,1/6,Other,06/2025 ,GK Statue,"41,767.75"
released,contact for current prices,Kotobukiya Studio,Yu-Gi-Oh,Dark Magician,Licensed Figure,26-35cm,1/7-1/9(popmax-like),Other,11/2016 ,Licensed Figure,"28,709.54"
pre-order,orderable,MiQi Studio,Dragon Ball,Videl,GK Statue,10-15cm,other scale,18+ Female,06/2025 ,GK Statue,"17,410.95"
released,contact for current prices,Prime 1 Studio,G.I. Joe,Scarlett,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"69,365.95"
pre-order close,contact for current prices,Long Miao Studio,Howl's Moving Castle,Calcifer,GK Statue,10-15cm,other scale,Other, ,GK Statue,"7,408.91"
released,contact for current prices,Prime 1 Studio,G.I. Joe,Destro,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"73,996.52"
released,contact for current prices,Prime 1 Studio,G.I. Joe,Serpentor,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"83,257.66"
released,contact for current prices,Prime 1 Studio,G.I. Joe,Storm Shadow,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"127,155.47"
pre-order,orderable,Otherwhere Studio,Original,Hina Verna,Licensed Figure,26-35cm,other scale,Other,06/2025 ,Licensed Figure,"20,004.06"
early bird,orderable,Atomic Studio,One Piece,Brook,GK Statue,16-25cm,other scale,Other, ,GK Statue,"36,951.95"
released,contact for current prices,Prime 1 Studio,G.I. Joe,Snake Eyes,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"64,735.38"
pre-order,orderable,Shi Guang Studio,MapleStory,boss,GK Statue,unknown,other scale,Other, ,GK Statue,"6,853.24"
pre-order,orderable,jb studio,Pokémon,Growlithe,GK Statue,unknown,1/20,Other, ,GK Statue,"7,408.91"
pre-order,orderable,yz studio,One Piece,Jiron,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,556.68"
pre-order close,contact for current prices,mds Studio,Digimon,Black War Greymon,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"12,595.15"
pre-order,orderable,a+ studio,One Piece,Vander Decken IX,GK Statue,under 10cm,wcf-like & sd-like,Other,09/2025 ,GK Statue,"5,556.68"
pre-order,orderable,Shibadon Studio,Arknights,Mountain,GK Statue,16-25cm,1/7-1/9(pop-like),18+ Furry, ,GK Statue,"36,859.34"
pre-order,orderable,md studio,Pokémon,Barraskewda,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"14,076.93"
pre-order,orderable,power studio,Naruto,Uchiha Itachi,GK Statue,under 10cm,wcf-like & sd-like,Other,03/2025 ,GK Statue,"5,371.46"
pre-order,orderable,bbf studio,One Piece,Kaido,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"9,261.14"
early bird,orderable,Devil studio,Original,Lucas lee,GK Statue,26-35cm,1/6,18+ Male, ,GK Statue,"92,518.80"
pre-order,orderable,LaiMi Studio,Redo of Healer,Flare,GK Statue,26-35cm,1/6,18+ Female,03/2025 ,GK Statue,"16,114.39"
pre-order,orderable,league studio,Dragon Ball,Recoom,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,treasure studio,Azur Lane,Owari,GK Statue,51-69cm,1/4,18+ Female,03/2025 ,GK Statue,"46,213.09"
released,contact for current prices,Prime 1 Studio,Fist of the North Star,Raoh,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"175,869.07"
pre-order,orderable,JIMEI PALACE Studio,League of Legends,Lux,Licensed Statue,36-50cm,1/6,Other,09/2025 ,Licensed Statue,"46,213.09"
pre-order,orderable,PKM Studio,NU: Carnival,Quincy,GK Statue,16-25cm,1/6,18+ Male,06/2025 ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Fist of the North Star,Kenshiro,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"89,925.68"
pre-order,orderable,ANNI Stuidio,Spy x Family,Yor Forger,GK Statue,51-69cm,1/4,18+ Female,12/2024 ,GK Statue,"45,101.76"
pre-order,orderable,Bard Studio,Spirited Away,Haku,GK Statue,36-50cm,other scale,Other,06/2025 ,GK Statue,"60,938.31"
pre-order,orderable,chikara studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,36-50cm,1/6,Other, ,GK Statue,"36,951.95"
released,contact for current prices,Prime 1 Studio,Fist of the North Star,Kenshiro,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"110,578.02"
pre-order,orderable,Juicy Made Studio,Final Fantasy,Tifa Lockhart,Sex Doll,over 90cm,Life-Size,18+ Female,06/2025 ,Sex Doll,"183,185.37"
pre-order,orderable,Tianyi Studio,One Piece,Monkey D. Luffy,GK Statue,26-35cm,1/7-1/9(pop-like),Other,03/2025 ,GK Statue,"13,058.21"
pre-order,orderable,WAWA Studio,Pokémon,Meowth,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"14,354.77"
released,contact for current prices,Prime 1 Studio,Dune,Paul Atreides,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"134,101.32"
pre-order,orderable,Spirit Demon Studio,Pokémon,Vaporeon,GK Statue,16-25cm,other scale,18+ Furry,06/2025 ,GK Statue,"45,286.98"
pre-order close,contact for current prices,FXW Studio,Digimon,Lighdramon,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"14,725.21"
pre-order,orderable,ACG Studio,Honkai Impact,Theresa Apocalypse,GK Statue,26-35cm,1/6,18+ Female,12/2024 ,GK Statue,"15,836.55"
released,contact for current prices,27abyss Studio,Hollow Knight ,Hornet in greenpath,GK Statue,unknown,other scale,Other,09/2024 ,GK Statue,"7,871.97"
pre-order,orderable,gold peter studio,Dragon Ball,Android 16,GK Statue,26-35cm,1/6,Other, ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Predator,Ahab Predator,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"166,607.93"
pre-order,orderable,Hot Boys Studio,Street Fighter,Ryu,GK Statue,26-35cm,1/6,18+ Male,06/2025 ,GK Statue,"25,560.75"
released,contact for current prices,Blue Snail Studio,MapleStory,NPC,GK Statue,10-15cm,other scale,Other, ,GK Statue,"18,429.67"
pre-order,orderable,RED ART Studio,Pokémon,Golduck,GK Statue,16-25cm,1/20,Other, ,GK Statue,"14,076.93"
pre-order,orderable,jb studio,Pokémon,Blue Oak,GK Statue,unknown,1/20,Other, ,GK Statue,"6,112.35"
released,contact for current prices,Prime 1 Studio,Predator,Sengoku Predator,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"129,563.36"
released,contact for current prices,Prime 1 Studio,Predator,Big Game Cover Art Predator,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"262,645.96"
pre-order,orderable,baby face studio,One Piece,Kalifa,GK Statue,unknown,1/6,18+ Female, ,GK Statue,"8,705.47"
released,contact for current prices,Prime 1 Studio,Predator,Big Game Predator,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"152,067.94"
pre-order,orderable,a+ studio,One Piece,Five Elders,GK Statue,10-15cm,wcf-like & sd-like,Other,06/2024 ,GK Statue,"9,075.92"
released,contact for current prices,Prime 1 Studio,Predator,Cracked Tusk Predator,Licensed Statue,over 90cm,1/4,Other, ,Licensed Statue,"165,867.04"
pre-order,orderable,Dai Dai Le Yuan Studio,Pokémon,Slowpoke,GK Statue,unknown,1/20,Other, ,GK Statue,"3,334.01"
pre-order close,contact for current prices,mrc studio,Dragon Ball,Gotenks,GK Statue,51-69cm,Life-Size,Bust,12/2024 ,GK Statue,"102,428.22"
pre-order,orderable,Arctic Wolf Studio,Honkai Impact,Bronya Zaychik,GK Statue,unknown,1/6,18+ Female,03/2025 ,GK Statue,"17,596.17"
pre-order,orderable,OMG Studio（new）,Wuthering Waves,Changli,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"38,155.90"
early bird,orderable,giant studio,Attack On Titan,Eren Jaeger,GK Statue,36-50cm,other scale,Other, ,GK Statue,"92,518.80"
early bird,orderable,YaoLingZaoWu Studio,Re:ZERO - Starting Life,Ram,GK Statue,10-15cm,other scale,Other, ,GK Statue,"14,169.55"
pre-order,orderable,Taco Studio,Star Wars,Stormtrooper,GK Statue,10-15cm,other scale,Other,03/2025 ,GK Statue,"7,223.69"
pre-order,orderable,EAST&WEST Studio,Kamen Rider,PUHITA-00,GK Statue,36-50cm,other scale,Other,06/2025 ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Alien,Tusked Alien,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"203,652.49"
released,contact for current prices,Prime 1 Studio,Alien,Rogue Alien,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"175,869.07"
abandon production,out of stock,Fish Head Studio,My Dress-Up Darling,Marin Kitagawa,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"26,209.03"
released,contact for current prices,Prime 1 Studio,Alien,Queen Alien,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"185,130.21"
released,contact for current prices,Prime 1 Studio,Alien,Warrior Alien,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"207,356.95"
pre-order,orderable,Shi Er Dian Studio,Water Margin,Wu Song,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"33,432.72"
released,contact for current prices,Prime 1 Studio,Alien,Scorpion Alien,Licensed Statue,over 90cm,1/4,Other, ,Licensed Statue,"148,178.26"
pre-order,orderable,Jiao Zong Studio,Original,Li Jing,Action Figure,unknown,other scale,Other,03/2025 ,Action Figure,"33,154.88"
released,contact for current prices,db studio,Dragon Ball,Launch,GK Statue,26-35cm,other scale,Other, ,GK Statue,"36,951.95"
pre-order,orderable,UNDERVERSE Studio,Original,Magician,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"25,560.75"
pre-order close,contact for current prices,Asmus Toys Studio,Ultraman,Ultraman Z,Action Figure,26-35cm,other scale,Other,12/2024 ,Action Figure,"14,910.44"
pre-order close,orderable,artisan studio,DC Comics,joker,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"17,040.50"
pre-order,orderable,Siiri Studio,Pokémon,Mewtwo,GK Statue,26-35cm,other scale,Other, ,GK Statue,"21,763.68"
pre-order,orderable,BLACK ROSE Studio,Pokémon,Arcanine,GK Statue,16-25cm,other scale,Other, ,GK Statue,"17,410.95"
released,orderable,mhc Studio,Pokémon,Cloyster,GK Statue,unknown,1/20,Other,09/2024 ,GK Statue,"6,853.24"
pre-order,orderable,FAce Studio,One Piece,Boa Hancock,GK Statue,10-15cm,1/6,18+ Female, ,GK Statue,"11,113.37"
pre-order,orderable,FAce Studio,Zenless Zone Zero,Jane Doe,GK Statue,26-35cm,1/6,18+ Female, ,GK Statue,"21,393.24"
pre-order,orderable,yz studio,One Piece,Trafalgar D. Water Law,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,power studio,Naruto,Hatake Kakashi,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,371.46"
pre-order,orderable,PP Studio,Black Clover,Yami Sukehiro,GK Statue,26-35cm,1/6,18+ Male,12/2024 ,GK Statue,"27,690.81"
pre-order,orderable,TE-land Studio,Marvel,Iron Man,GK Statue,unknown,Life-Size,Bust,03/2025 ,GK Statue,"291,633.33"
released,orderable,Dream Box Studio,Crayon Shin-chan,Shinnosuke Nohara,GK Statue,16-25cm,other scale,Other,09/2024 ,GK Statue,"9,075.92"
pre-order,orderable,Fighting Sprit Studio,Dragon Ball,Trunks,GK Statue,36-50cm,1/6,Other, ,GK Statue,"21,300.62"
pre-order,orderable,u-king studio,Genshin Impact,Clorinde,GK Statue,unknown,1/6,Other,03/2025 ,GK Statue,"13,984.32"
pre-order,orderable,NANA Studio,Sailor Moon,Sailor Moon / Tsukino Usagi,GK Statue,10-15cm,other scale,Other, ,GK Statue,"8,705.47"
pre-order,orderable,Player 1 Studio,Hunter x Hunter,Hisoka,GK Statue,51-69cm,1/6,Other,12/2025 ,GK Statue,"64,735.38"
pre-order,orderable,bdsm studio,Kaiju No. 8,Kafka Hibino,GK Statue,16-25cm,1/6,18+ Male,12/2024 ,GK Statue,"29,543.04"
released,orderable,Prime 1 Studio,DC Comics,joker,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"138,824.50"
pre-order,orderable,Bai Tu Tang Studio,Genshin Impact,Yae Miko,GK Statue,26-35cm,1/6,18+ Female,03/2025 ,GK Statue,"17,966.61"
pre-order,orderable,stand studio,One Piece,Hanafuda,GK Statue,36-50cm,1/7-1/9(pop-like),Other,06/2025 ,GK Statue,"22,411.96"
released,contact for current prices,Prime 1 Studio,DC Comics,Batman,Licensed Statue,over 90cm,1/4,Other, ,Licensed Statue,"120,302.22"
pre-order,orderable,White Hole Studio,Dragon Ball,Apule,GK Statue,26-35cm,1/6,Other,06/2025 ,GK Statue,"43,342.14"
pre-order,orderable,White Hole Studio,Dragon Ball,Bulma,GK Statue,36-50cm,1/6,Other,06/2025 ,GK Statue,"59,549.14"
released,contact for current prices,Prime 1 Studio,DC Comics,Wonder Woman,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"92,518.80"
released,contact for current prices,Prime 1 Studio,DC Comics,Darkseid,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"115,671.65"
pre-order,orderable,league studio,Dragon Ball,Shenron,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,482.80"
pre-order,orderable,Polaris Studio,Original,Gargoyle,GK Statue,10-15cm,other scale,18+ Male,12/2024 ,GK Statue,"21,393.24"
released,contact for current prices,Prime 1 Studio,DC Comics,Brainiac,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"129,470.75"
released,contact for current prices,Prime 1 Studio,DC Comics,superman,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"92,518.80"
pre-order,orderable,league studio,Celebrity Figure,Akira Toriyama,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order close,contact for current prices,Max Milk Studio,AV actress,Yua Mikami,Licensed Statue,70-90cm,1/4,18+ Female,03/2025 ,Licensed Statue,"64,735.38"
pre-order,orderable,UNO Studio,One Piece,Devil Fruits,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"4,074.90"
released,contact for current prices,Prime 1 Studio,DC Comics,Black Manta,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"73,996.52"
pre-order,orderable,UNO Studio,One Piece,Monkey D. Luffy,GK Statue,36-50cm,1/4,Bust,12/2024 ,GK Statue,"8,335.03"
pre-order,orderable,xy studio,One Piece,Perona,GK Statue,10-15cm,other scale,Other, ,GK Statue,"8,520.25"
released,contact for current prices,Prime 1 Studio,Battle Angel Alita,Alita,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"129,563.36"
pre-order,orderable,yyds studio,Detective Conan,Ai Haibara/Shiho Miyano,GK Statue,16-25cm,1/6,Other,06/2025 ,GK Statue,"8,705.47"
pre-order,orderable,Puffer Studio,Chainsaw Man,Makima,GK Statue,51-69cm,other scale,18+ Female,09/2025 ,GK Statue,"52,788.50"
pre-order,orderable,c studio,One Piece,Momonga,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,556.68"
pre-order,orderable,Forest Among Anime Studio,My Neighbor Totoro,Totoro,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"43,434.75"
pre-order,orderable,Dragon Frontier Studio,Monster Hunter,Savage Deviljho,GK Statue,26-35cm,other scale,Other,06/2025 ,GK Statue,"78,071.42"
pre-order,orderable,Yu Zhai Ren Xing Studio (YuZhaiRenXing),Honkai: Star Rail,Kafka,Sex Doll,51-69cm,other scale,18+ Female,12/2024 ,Sex Doll,"40,100.74"
pre-order,orderable,yz studio,Bleach,Aizen Sosuke,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,,Pokémon,Heatran,GK Statue,unknown,1/20,Other, ,GK Statue,"6,668.02"
pre-order,orderable,Mecha era Studio,Gundam Series,Zaku ,GK Statue,10-15cm,other scale,Other, ,GK Statue,"8,890.70"
pre-order,orderable,Mi Yin Studio,Zenless Zone Zero,Jane Doe,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"19,448.40"
pre-order,orderable,Noc Studio,Dragon Ball,Vegeta,GK Statue,26-35cm,1/6,Other, ,GK Statue,"10,928.15"
pre-order,orderable,Prime 1 Studio,The Boys,William 'Billy' Butcher,Licensed Statue,51-69cm,1/4,Other,03/2026 ,Licensed Statue,"78,627.09"
pre-order,orderable,a+ studio,One Piece,Red Hair Pirates,GK Statue,under 10cm,wcf-like & sd-like,Other,09/2025 ,GK Statue,"5,186.24"
pre-order,orderable,soul studio,Honkai: Star Rail,Sparkle/Hanabi,GK Statue,16-25cm,1/6,Bust,03/2025 ,GK Statue,"15,836.55"
