Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
pre-order,orderable,Hobby Sakura Studio,Original,Game Girl,Licensed Figure,26-35cm,1/7-1/9(pop-like),Other,06/2025 ,Licensed Figure,"12,409.93"
pre-order,orderable,Hobby Sakura Studio,Original,Bunny Girl,Licensed Figure,26-35cm,1/7-1/9(pop-like),Other,06/2025 ,Licensed Figure,"12,409.93"
pre-order,orderable,Hobby Sakura Studio,Goddess of Victory: Nikke,Privaty,Licensed Figure,10-15cm,other scale,Other,12/2024 ,Licensed Figure,"10,650.31"
pre-order,orderable,Hobby Sakura Studio,Original,Lightning Girl,Licensed Figure,26-35cm,1/7-1/9(pop-like),Other,06/2025 ,Licensed Figure,"12,409.93"
pre-order,orderable,Animester Studio,Cyberpunk: Edgerunners,Lucy,Licensed Figure,16-25cm,1/7-1/9(pop-like),Other,09/2025 ,Licensed Figure,"3,426.62"
pre-order,orderable,Animester Studio,Original,Cathy,Licensed Figure,26-35cm,1/6,Other,12/2025 ,Licensed Figure,"4,352.74"
released,in stock,Dorobou Neko Studio,Naruto,Konan,3D Decorative Paint,36-50cm,other scale,18+ Female,09/2024 ,3D Decorative Paint,"6,297.58"
pre-order,orderable,White Deer Studio,Spirited Away,Haku,GK Statue,51-69cm,other scale,Other,06/2025 ,GK Statue,"59,641.75"
pre-order,orderable,Dim Studio,Dragon Ball,Brave Sword,GK Statue,51-69cm,other scale,Other,06/2025 ,GK Statue,"26,301.64"
pre-order,orderable,Dragon Stone Studio,Neon Genesis Evangelion,Soryu Asuka Langley,GK Statue,26-35cm,1/6,Other,09/2025 ,GK Statue,"55,844.68"
pre-order,orderable,stand studio,One Piece,Charlotte Perospero,GK Statue,26-35cm,1/7-1/9(pop-like),Other,06/2025 ,GK Statue,"22,411.96"
pre-order,orderable,Blue Line Studio,Azur Lane,Kashino,GK Statue,16-25cm,1/6,18+ Female,12/2025 ,GK Statue,"21,208.01"
early bird,orderable,JuHun Create Studio,Original,Avril,GK Statue,70-90cm,other scale,18+ Female, ,GK Statue,"61,401.36"
pre-order,orderable,PlanB Studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,26-35cm,1/6,Other,06/2025 ,GK Statue,"13,058.21"
early bird,orderable,Qi Feng Studio,Original,Abdominal Muscle Sister,GK Statue,unknown,1/5,18+ Female, ,GK Statue,"27,690.81"
early bird,orderable,GG Studio,One Piece,Boa Hancock,GK Statue,26-35cm,1/7-1/9(pop-like),Other, ,GK Statue,"27,690.81"
pre-order,orderable,ACME Studio,Resident Evil / Biohazard,Chris Redfield,GK Statue,36-50cm,1/6,18+ Male, ,GK Statue,"27,690.81"
early bird,orderable,PJ Studio,The King of Fighters,Shiranui Mai,Licensed Statue,36-50cm,1/6,Other,09/2025 ,Licensed Statue,"92,518.80"
early bird,orderable,PJ Studio,The King of Fighters,Luong,Licensed Statue,36-50cm,1/4,Other,09/2025 ,Licensed Statue,"92,518.80"
pre-order,orderable,Shi Nian Bai Ren Studio (SNBR Studio),Naruto,Pain,GK Statue,16-25cm,other scale,Other,10/2024 ,GK Statue,"7,408.91"
