Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
pre-order,orderable,Zero TOYS Studio,Kamen Rider,Kamen Rider Ark-One,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"14,910.44"
early bird,orderable,PP Jiang Studio,Blue Archive,Asuma Toki,GK Statue,unknown,other scale,Other, ,GK Statue,"27,690.81"
pre-order,orderable,SWTOYS Studio,Final Fantasy,Tifa Lockhart,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"12,409.93"
pre-order,orderable,PEAKART Studio,Kung Fu Hustle,Stephen Chow,Action Figure,26-35cm,1/6,Other,06/2025 ,Action Figure,"31,580.49"
pre-order,orderable,BFULL Studio,Blue Archive,Hina Sorasaki,Licensed Figure,16-25cm,1/7-1/9(pop-like),Other,03/2025 ,Licensed Figure,"17,503.56"
pre-order,orderable,WAWA Studio,Pokémon,Scizor,Peripheral,under 10cm,other scale,Other, ,Peripheral,"5,001.02"
pre-order,orderable,stand studio,One Piece,Curly Dadan,GK Statue,26-35cm,1/7-1/9(pop-like),Other,06/2025 ,GK Statue,"17,966.61"
pre-order,orderable,XYZ Studio,Fairy Tail,Natsu Dragneel,Action Figure,unknown,1/6,Other,12/2025 ,Action Figure,"17,688.78"
pre-order,orderable,yun qi studio,Love & Chunibyo & Other Delusions,Takanashi Rikka,GK Statue,26-35cm,1/6,18+ Female,12/2024 ,GK Statue,"27,690.81"
pre-order,orderable,league studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,853.24"
pre-order,orderable,cosh Studio,My Dress-Up Darling,Marin Kitagawa,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"23,986.36"
pre-order,orderable,Tsume Studio,Saint Seiya,Merak Beta Hagen,Licensed Statue,26-35cm,other scale,Other,06/2025 ,Licensed Statue,"41,295.43"
pre-order,orderable,Player 1 Studio,Jujutsu Kaisen,Itadori Yuji / Ryomen Sukuna,GK Statue,unknown,1/6,Other, ,GK Statue,"68,254.61"
early bird,orderable,Iron Curtain Studio,Naruto,Uchiha Madara,GK Statue,unknown,other scale,Other, ,GK Statue,"92,518.80"
pre-order,orderable,Soda Studio,Original,Fran-K-Enstein,GK Statue,16-25cm,1/6,18+ Female,12/2024 ,GK Statue,"27,690.81"
pre-order,orderable,Hottoys Studio,Beetlejuice,Betelgeuse,Licensed art toys,26-35cm,1/6,Other,12/2025 ,Licensed art toys,"28,709.54"
pre-order,orderable,Hottoys Studio,The Terminator,T-800,Licensed art toys,26-35cm,1/6,Other,12/2025 ,Licensed art toys,"31,487.88"
released,contact for current prices,Prime 1 Studio,Street Fighter,Akuma,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"111,041.08"
pre-order,orderable,Fish Head Studio,Original,Goblin,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"29,543.04"
pre-order,orderable,EKUAZ Studio,Resident Evil / Biohazard,Leon Scott Kennedy,Action Figure,unknown,1/6,Other,09/2025 ,Action Figure,"21,393.24"
released,contact for current prices,Prime 1 Studio,Robotec,VF-1J Officer’s Veritech,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"92,518.80"
pre-order close,contact for current prices,BLACK METAL Studio,Original,Laughing Godzilla,Action Figure,10-15cm,other scale,Other,10/2024 ,Action Figure,"10,002.03"
early bird,orderable,ABS Studio,Honkai: Star Rail,Gallagher,GK Statue,unknown,1/6,18+ Male, ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Robotec,VF-1S Skull Leader,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"92,518.80"
pre-order,orderable,Toy's My Dream Studio,One Piece,Roronoa Zoro,GK Statue,16-25cm,1/7-1/9(pop-like),Other, ,GK Statue,"12,409.93"
pre-order,orderable,sakura studio,Pokémon,Pikachu,GK Statue,10-15cm,other scale,Other,03/2025 ,GK Statue,"5,001.02"
pre-order,orderable,FW Studio,Gundam Series,Gundam RX-78,GK Statue,10-15cm,other scale,Other, ,GK Statue,"10,372.48"
pre-order close,contact for current prices,Native Studio,Original,Olivia,GK Statue,26-35cm,1/5,18+ Female,06/2025 ,GK Statue,"26,301.64"
released,contact for current prices,Prime 1 Studio,Robotec,VF-1J Officer’s Veritech,Licensed Statue,70-90cm,none scale,Other, ,Licensed Statue,"186,611.99"
pre-order,orderable,Q-six Studio,Original,Miyako Torashiro,Licensed Figure,10-15cm,1/5,18+ Female,06/2025 ,Licensed Figure,"18,892.73"
released,contact for current prices,AWA Studio,Super Mario,Mario,GK Statue,10-15cm,other scale,Other, ,GK Statue,"22,226.74"
pre-order,orderable,PINKMANGO Studio,Original,Lilia,Licensed Figure,16-25cm,1/4,18+ Female,12/2024 ,Licensed Figure,"26,023.81"
released,contact for current prices,Prime 1 Studio,Persona,joker,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"83,257.66"
pre-order,orderable,Mimo Studio,Black Myth wukong,Yellow Wind Demon,GK Statue,10-15cm,other scale,Other,06/2025 ,GK Statue,"6,668.02"
pre-order,orderable,Wake Studio,Ori and the Will of the Wisps,Ori,GK Statue,36-50cm,other scale,Other,09/2025 ,GK Statue,"46,213.09"
pre-order,orderable,LQ Studio,One Piece,Roronoa Zoro,GK Statue,unknown,1/7-1/9(pop-like),Other,06/2025 ,GK Statue,"13,799.10"
pre-order,orderable,LIQUID Studio,Original,Jue Mi,GK Statue,26-35cm,other scale,18+ Male,12/2024 ,GK Statue,"17,966.61"
released,contact for current prices,Prime 1 Studio,NIOH,William,Licensed Statue,36-50cm,1/4,Other, ,Licensed Statue,"101,594.72"
early bird,orderable,G-spot Studio,Genshin Impact,Raiden Shogun / Beelzebul,GK Statue,16-25cm,other scale,18+ Female, ,GK Statue,"27,690.81"
pre-order,orderable,CHEESE Studio,Pokémon,Pikachu,GK Statue,26-35cm,other scale,Skin change / Cosplay,12/2024 ,GK Statue,"14,910.44"
pre-order,orderable,ALL IN Studio,Pokémon,Piplup,GK Statue,10-15cm,1/3,Other,12/2024 ,GK Statue,"6,853.24"
pre-order,orderable,power studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,371.46"
early bird,orderable,Arctic Wolf Studio,Honkai Impact,Fu Hua,GK Statue,unknown,other scale,Other, ,GK Statue,"92,518.80"
pre-order,orderable,verve studio,Genshin Impact,Venti/Barbatos,GK Statue,16-25cm,other scale,Other, ,GK Statue,"19,541.01"
released,contact for current prices,Prime 1 Studio,Justice League,Superman,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"96,778.92"
released,contact for current prices,Prime 1 Studio,Justice League,Wonder Woman,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"63,624.04"
pre-order,orderable,JIMEI PALACE Studio,Saint Seiya,Aries,Licensed Statue,51-69cm,1/6,Other,09/2025 ,Licensed Statue,"107,521.85"
pre-order,orderable,GG Studio,One Piece,Brook,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"14,910.44"
released,contact for current prices,Prime 1 Studio,Justice League,Cyborg,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"82,238.93"
pre-order,orderable,Prime 1 Studio,The Boys,Homelander,Licensed Statue,51-69cm,1/4,Other,03/2026 ,Licensed Statue,"78,627.09"
released,in stock,LD Studio,Pokémon,Phanpy,GK Statue,unknown,1/20,Other,09/2024 ,GK Statue,"7,594.14"
pre-order,orderable,Meat Studio,Super Mario,Mario,GK Statue,16-25cm,1/6,18+ Female,12/2025 ,GK Statue,"25,560.75"
pre-order,orderable,JOMATAL Studio,Fights Break Firmament,Xiao Yixian,Licensed Statue,51-69cm,1/4,Other,09/2025 ,Licensed Statue,"67,421.11"
early bird,orderable,dg studio,Digimon,Skull Greymon,GK Statue,36-50cm,other scale,Other,12/2024 ,GK Statue,"36,951.95"
pre-order,orderable,qian mo studio,One Piece,Enel,GK Statue,36-50cm,1/6,Other,12/2024 ,GK Statue,"21,393.24"
released,contact for current prices,Prime 1 Studio,Justice League,The Flash,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"94,000.58"
pre-order,orderable,LD Studio,Pokémon,Zygarde,GK Statue,10-15cm,1/20,Other, ,GK Statue,"10,372.48"
